medium,ploidy,replicate,exp_folder,Position_n,run_number,Cell_ID,mKate_stain_index,mNeon_inside_cell_stain_index,mNeon_inside_mtNet_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_1,6,1,3.797305759240186,3.613383460666925,0.7149420567066888
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_2,6,1,3.696708051338858,3.368121988417456,0.7100615876661428
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_2,6,2,4.836597426567755,,
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_3,6,1,3.1700894130968735,3.284784981142934,0.8390446920731666
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_4,6,2,3.889967390644083,,
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_4,6,4,3.742343958182329,3.4461743003612004,0.7379112246106975
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_5,6,1,3.8561049835161247,4.060382974023405,1.0963777574319313
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_5,6,2,3.3739058495099803,3.778897524894006,1.0110994670589029
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_6,6,2,3.1796192313795517,3.3448366892956525,0.8500053043321635
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_6,6,4,3.328905509358219,3.713963994143966,0.7968279015117467
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_7,6,1,2.842369254118742,1.9127169948095522,0.4977847315994679
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_7,6,2,3.4007398135394484,3.1687587646736275,0.6717838441153255
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_8,6,2,3.4120328101145003,3.981650102219806,1.1928243230346187
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_8,6,4,2.99831697857621,2.9993879542625166,0.734460081050574
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_9,6,2,2.7459683382237623,3.5322002072441228,1.3010733804777628
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_9,6,3,2.7134043257389,2.5568399403339526,0.737314627060747
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_10,6,1,3.2973937135912617,3.1502767982191027,0.7735822066640337
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_10,6,2,3.2462181308022706,3.145478890182252,0.5475102488033932
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_11,6,1,2.544742673953712,2.3489879188833913,0.5969215646041424
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_11,6,2,3.032438898987914,3.8534724620714504,1.0398134004387516
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_12,6,1,3.46626654064539,3.0145829998568696,0.9470017506640616
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_12,6,2,3.541143431039029,3.33341446802639,0.9690719014553637
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_13,6,1,3.0712787188133213,3.1586018810273746,0.8047926456003383
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_13,6,2,3.2034832400698785,2.8952990573337845,0.8005285844293185
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_14,6,1,2.936456770754441,2.3489356258662357,0.5068002718696843
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_14,6,2,3.082894766971812,2.811081290266819,0.7795720375912539
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_15,6,1,2.754138868771182,3.1550964545212317,0.745218886188563
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_15,6,2,2.770607776178219,3.6745291629787693,0.9612671821055213
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_16,6,1,2.8798092649744147,2.894619298998935,0.7778402387820388
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_16,6,2,3.196447163103363,2.5931833536004087,0.7531291571717252
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_17,6,1,2.9212671386936204,2.7330591601509715,0.6695937906052574
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_17,6,2,,,
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_18,6,1,3.215368239669712,3.1847149515199504,1.048227461768027
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_18,6,2,3.0537085772902297,3.020893159739749,0.8861019075276835
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_19,6,1,3.291601037263339,2.2140143054606125,0.7148423129835096
