strain,exp_folder,Position_n,run_number,Cell_ID,mKate_stain_index,mNeon_inside_cell_stain_index,mNeon_inside_mtNet_stain_index
yCO381,2022-08-24,Position_1,2,2,0.45489384451739906,,
yCO381,2022-08-24,Position_1,2,3,0.6456427724287721,1.550600339143897,0.5222639753954837
yCO381,2022-08-24,Position_1,2,4,0.6594210557903845,1.4469060658079784,0.40612738047055136
yCO381,2022-08-24,Position_2,2,3,0.6025210237509924,,
yCO381,2022-08-24,Position_2,2,4,0.6002657271928787,,
yCO381,2022-08-24,Position_2,2,7,0.6294172842264769,1.3914914554142614,0.38894020642619737
yCO381,2022-08-24,Position_2,2,8,0.7812040046240083,,
yCO381,2022-08-24,Position_3,2,1,0.7133858406571468,1.9227778408949254,0.6501283081181068
yCO381,2022-08-24,Position_3,2,2,0.6320175245391241,1.5299719303049446,0.39647215005186165
yCO381,2022-08-24,Position_3,2,3,0.6189613669713137,1.6396340919094792,0.6272751095447219
yCO381,2022-08-24,Position_3,2,4,0.6553652983462015,,
yCO381,2022-08-24,Position_3,2,5,0.5831834021639736,1.6351553440964348,0.500085780052044
yCO381,2022-08-24,Position_3,2,6,0.6343076272049442,,
yCO381,2022-08-24,Position_3,2,7,0.5959967439590972,1.4331693008480193,0.3912319675359371
yCO381,2022-08-24,Position_3,2,8,0.6295204976408011,,
yCO381,2022-08-24,Position_4,2,1,0.7433350438457115,,
yCO381,2022-08-24,Position_4,2,2,0.5939358235644838,1.754042590743606,0.46664890614769133
yCO381,2022-08-24,Position_4,2,3,0.5953646338696843,1.4979180533319372,0.430511056909478
yCO381,2022-08-24,Position_4,2,4,0.6398533413163362,,
yCO381,2022-08-24,Position_4,2,5,0.616731044602752,1.5863877768585477,0.4874402580766771
yCO381,2022-08-24,Position_4,2,6,0.6342336304645638,,
yCO381,2022-08-24,Position_5,2,2,0.7271824144755626,1.5438884598106661,0.4700138739058683
yCO381,2022-08-24,Position_5,2,3,0.7307388064407523,1.685588916037427,0.5714219847207063
yCO381,2022-08-24,Position_5,2,4,0.9223338942624119,1.9212942237438488,0.4903508591874244
yCO381,2022-08-24,Position_5,2,5,0.761653925644373,1.7387763611587488,0.4703027130819455
yCO381,2022-08-24,Position_5,2,6,0.7584593544186561,1.5153616019048806,0.2778158343039221
yCO381,2022-08-24,Position_6,2,1,0.6986033599254776,,
yCO381,2022-08-24,Position_6,2,2,0.7243745254140543,1.7315231681243353,0.5323284576809421
yCO381,2022-08-24,Position_6,2,3,0.7073656388975932,,
yCO381,2022-08-24,Position_6,2,4,0.7434796186425197,,
yCO381,2022-08-24,Position_6,2,5,0.7273996881939169,,
yCO381,2022-08-24,Position_7,2,1,0.7549426068616029,1.645843479557694,0.44652328650060125
yCO381,2022-08-24,Position_7,2,2,0.7540704114225757,2.1926311355142194,0.7051831980218776
yCO381,2022-08-24,Position_7,2,3,0.737521031661869,1.675283587349625,0.4557461226776743
yCO381,2022-08-24,Position_7,2,4,0.7284898607366155,1.517384044823897,0.4701762601520155
yCO381,2022-08-24,Position_7,2,5,0.6948127239030638,1.2373926297407891,0.18117530816316876
yCO381,2022-08-24,Position_7,2,6,0.7109714265488711,,
yCO381,2022-08-24,Position_8,2,1,0.6117414324556827,,
yCO381,2022-08-24,Position_8,2,2,0.6136070820023605,1.6176154825215494,0.48842301552052747
yCO381,2022-08-24,Position_8,2,3,0.7610284860080317,1.571585456902329,0.47846365564135546
yCO381,2022-08-24,Position_8,2,4,0.6409089643782736,,
yCO381,2022-08-24,Position_8,2,5,0.6329455905722619,1.5848490288593151,0.48312984535803005
yCO381,2022-08-24,Position_9,2,2,0.655400833088619,,
yCO381,2022-08-24,Position_9,2,3,0.6008548211005679,2.3782390417153936,0.956802345973842
yCO381,2022-08-24,Position_9,2,4,0.8957553705793846,,
yCO381,2022-08-24,Position_9,2,5,0.7201676238118129,,
yCO381,2022-08-24,Position_10,2,1,0.8431986044243259,,
yCO381,2022-08-24,Position_10,2,2,0.7090022169779262,1.5701390526112928,0.4808558667520353
yCO381,2022-08-24,Position_10,2,3,0.7228467598533654,,
yCO381,2022-08-24,Position_10,2,4,0.7511343116052461,,
yCO381,2022-08-24,Position_11,2,1,0.7542105216657586,,
yCO381,2022-08-24,Position_11,2,2,0.73752862708336,,
yCO381,2022-08-24,Position_11,2,3,0.7114223493955089,1.3824072199157285,0.39275336574225067
yCO381,2022-08-24,Position_11,2,4,0.7375098276702946,1.292475364701105,0.3013976771904188
yCO381,2022-08-24,Position_12,2,1,0.7498563079984932,,
yCO381,2022-08-24,Position_12,2,2,0.7695969992414106,,
yCO381,2022-08-24,Position_12,2,3,0.6133888754879726,1.4815866286007637,0.4096057427455359
yCO381,2022-08-24,Position_13,2,1,0.8380018457186238,,
yCO381,2022-08-24,Position_13,2,2,0.7392779948625112,1.7255592413601244,0.5902228212246257
yCO381,2022-08-24,Position_13,2,3,0.7001234313495347,,
yCO381,2022-08-24,Position_13,2,4,0.6183019581317226,,
yCO381,2022-08-24,Position_14,2,1,1.07422060959467,,
yCO381,2022-08-24,Position_14,2,2,1.005999165943815,1.6664193566508754,0.33833746981775964
yCO381,2022-08-24,Position_14,2,3,1.0151661017607256,,
yCO381,2022-08-24,Position_15,2,1,0.7859324443144945,1.7352737967653349,0.5288558468523435
yCO381,2022-08-24,Position_15,2,2,0.7267498822210997,,
yCO381,2022-08-24,Position_15,2,3,0.8069526378861392,,
yCO381,2022-08-24,Position_15,2,4,0.7406285550804621,1.6509291029998414,0.4597378005104327
yCO381,2022-08-24,Position_16,2,1,0.6426923674286296,,
yCO381,2022-08-24,Position_16,2,2,0.6231355551555244,,
yCO381,2022-08-24,Position_16,2,3,0.6826639155408553,,
yCO381,2022-08-24,Position_16,2,4,0.6089815413411039,1.861372912427689,0.7387122975485506
yCO381,2022-08-24,Position_17,2,1,0.6265087857696723,1.4744081467814807,0.39033223945520956
yCO381,2022-08-24,Position_17,2,2,0.6704171790569146,,
