medium,ploidy,replicate,exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_1,1,SCD,3.797305759240186,3.613383460666925
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_2,1,SCD,3.696708051338858,3.368121988417456
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_3,1,SCD,3.170089413096873,3.284784981142934
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_4,4,SCD,3.742343958182329,3.4461743003612004
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_5,1,SCD,3.8561049835161247,4.060382974023405
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_5,2,SCD,3.3739058495099803,3.778897524894006
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_6,2,SCD,3.179619231379552,3.3448366892956525
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_6,4,SCD,3.328905509358219,3.713963994143966
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_7,1,SCD,2.842369254118742,1.912716994809552
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_7,2,SCD,3.4007398135394484,3.1687587646736275
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_8,2,SCD,3.4120328101145003,3.981650102219806
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_8,4,SCD,2.99831697857621,2.9993879542625166
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_9,2,SCD,2.7459683382237623,3.5322002072441228
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_9,3,SCD,2.7134043257389,2.556839940333953
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_10,1,SCD,3.2973937135912617,3.1502767982191027
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_10,2,SCD,3.2462181308022706,3.145478890182252
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_11,1,SCD,2.544742673953712,2.3489879188833918
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_11,2,SCD,3.032438898987914,3.8534724620714496
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_12,1,SCD,3.46626654064539,3.0145829998568696
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_12,2,SCD,3.541143431039029,3.33341446802639
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_13,1,SCD,3.0712787188133213,3.1586018810273746
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_13,2,SCD,3.2034832400698785,2.8952990573337845
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_14,1,SCD,2.936456770754441,2.348935625866236
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_14,2,SCD,3.082894766971812,2.811081290266819
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_15,1,SCD,2.754138868771182,3.155096454521232
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_15,2,SCD,2.770607776178219,3.674529162978769
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_16,1,SCD,2.8798092649744147,2.894619298998935
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_16,2,SCD,3.196447163103363,2.5931833536004087
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_17,1,SCD,2.9212671386936204,2.7330591601509715
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_18,1,SCD,3.215368239669712,3.1847149515199504
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_18,2,SCD,3.0537085772902297,3.020893159739749
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_19,1,SCD,3.291601037263339,2.2140143054606125
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_19,2,SCD,3.1832396206575253,2.141441836695626
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_20,1,SCD,2.946577146512771,2.601286578931066
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_20,2,SCD,4.104292905670298,3.712296376734869
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_21,2,SCD,2.8281649173257497,3.2013415020401865
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_21,3,SCD,3.331871019954624,3.442500340203073
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_22,1,SCD,2.723471480150298,2.4744360634160656
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_22,2,SCD,2.642570049567292,2.33830501976908
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_23,1,SCD,2.849540750353377,3.6035519779985794
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_23,2,SCD,3.041705185062293,3.371171082953131
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_24,2,SCD,2.873452675520064,2.546581374397181
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_24,3,SCD,2.776652811678857,1.701846213468564
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_25,1,SCD,3.0938700606638303,2.7977736791372
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_25,2,SCD,2.926738319157739,2.892032070657356
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_26,1,SCD,3.098201805498688,2.542700539877542
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_26,2,SCD,3.1236228318143837,3.2388974989645205
